# gene name,C1,C2,C3,C4,E1,E2,E3,E4
ccmF,4.80E-04,5.48E-04,5.30E-04,4.46E-04,3.52E-04,3.65E-04,4.07E-04,2.63E-04
eutE,4.81E-04,4.44E-04,5.66E-04,6.27E-04,3.12E-04,3.02E-04,4.11E-04,2.97E-04
livK,5.54E-04,5.25E-04,2.54E-04,3.29E-04,1.59E-04,1.08E-04,1.12E-04,8.15E-05
fucU,6.19E-05,5.02E-05,5.80E-05,6.08E-05,5.02E-05,3.93E-05,4.16E-05,3.64E-05
fhiA,8.35E-05,9.07E-05,1.64E-04,1.25E-04,1.63E-05,4.00E-05,5.67E-05,1.01E-05
trpC,4.33E-05,3.74E-05,2.85E-05,2.34E-05,5.39E-05,4.96E-05,5.07E-05,6.19E-05
ppk,1.06E-03,1.10E-03,9.56E-04,1.04E-03,1.18E-03,1.31E-03,1.20E-03,1.17E-03
hupB,6.10E-04,5.93E-04,1.37E-04,3.03E-04,8.42E-04,9.38E-04,9.13E-04,1.24E-03
rpoD,1.61E-03,1.48E-03,1.50E-03,1.50E-03,1.89E-03,1.80E-03,1.69E-03,1.66E-03
hisD,2.81E-04,2.74E-04,1.97E-04,2.15E-04,5.78E-04,3.61E-04,4.00E-04,4.39E-04
nuoH,1.47E-04,1.73E-04,1.85E-04,1.93E-04,1.23E-04,1.17E-04,1.21E-04,1.47E-04
yafJ,1.45E-04,1.47E-04,1.75E-04,1.66E-04,2.84E-04,2.06E-04,2.18E-04,2.22E-04
livM,5.01E-04,6.48E-04,7.54E-04,8.17E-04,1.53E-04,3.01E-04,4.83E-04,1.60E-04
serA,4.20E-03,3.16E-03,1.44E-03,2.78E-03,8.13E-04,6.00E-04,6.54E-04,5.56E-04
hrsA,4.32E-04,4.61E-04,5.04E-04,4.37E-04,3.51E-04,3.66E-04,4.00E-04,2.98E-04
lacA,4.63E-04,4.58E-04,9.33E-05,3.09E-04,2.43E-03,1.49E-03,9.33E-04,2.46E-03
hycE,3.72E-04,3.63E-04,3.09E-04,3.52E-04,2.85E-04,2.56E-04,3.07E-04,2.53E-04
nrdD,5.70E-04,6.12E-04,7.30E-04,6.48E-04,4.40E-04,5.21E-04,5.19E-04,4.64E-04
potF,3.33E-04,3.44E-04,1.92E-04,2.39E-04,1.02E-04,1.48E-04,1.25E-04,1.39E-04
yfhE,1.37E-04,1.36E-04,1.18E-04,1.59E-04,1.64E-04,2.16E-04,2.22E-04,2.46E-04
glnL,1.19E-04,1.66E-04,2.15E-04,1.77E-04,5.14E-05,7.33E-05,1.08E-04,8.66E-05
araE,4.08E-04,4.77E-04,4.53E-04,4.21E-04,3.08E-04,3.94E-04,3.53E-04,3.32E-04
ybeD,1.14E-04,1.13E-04,9.15E-05,1.33E-04,3.58E-04,3.35E-04,2.91E-04,6.19E-04
pitB,3.07E-04,3.46E-04,4.29E-04,4.11E-04,2.19E-04,2.82E-04,2.63E-04,1.97E-04
yhiU,2.20E-04,1.82E-04,2.79E-04,2.41E-04,1.52E-04,1.65E-04,1.39E-04,1.39E-04
